id,media,media.type,type.label
s01,A&F,1,Upstream
s02,C,1,Upstream
s03,P,1,Upstream
s04,NFM,1,Upstream
s05,Che,2,Midstream
s06,S,2,Midstream
s07,E,2,Midstream
s08,LM,2,Midstream
s09,U,2,Midstream
s10,EP,2,Midstream
s11,T,2,Midstream
s12,BM,2,Midstream
s13,EE,2,Midstream
s14,ME,2,Midstream
s15,HA,3,Downstream
s16,F&D,3,Downstream
s17,T&A,3,Downstream
s18,Bio,3,Downstream
s19,RE,3,Downstream
s20,CT,3,Downstream
s21,L&S,3,Downstream
s22,Com,3,Downstream
s23,B&D,3,Downstream
s24,ND,3,Downstream
s25,Comp,3,Downstream
s26,Med,3,Downstream
s27,Comm,3,Downstream
s28,B,3,Downstream
s29,NBF,3,Downstream
s30,A,3,Downstream
s31,Beau,3,Downstream
